,Unnamed: 0,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster,CREDIT_PREDICTED
0,4,C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,0.0,,0.0,12,0,8173.462930585558
1,32,C10032,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,645.998299,256.848991,0.0,12,1,8460.616771655928
2,56,C10057,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,0.0,,0.0,12,0,8607.512990409894
3,225,C10233,6571.484039,1.0,9325.22,9325.22,0.0,0.0,0.333333,0.333333,0.0,0.0,0,5,11036.72668,1824.680131,0.0,12,3,12207.286725182455
4,394,C10407,11209.37076,1.0,11147.33,1137.4,10009.93,2728.576925,1.0,0.25,1.0,0.166667,8,126,7932.77402,17494.90735,0.0,12,7,11147.582138268153
5,430,C10445,8647.057641,1.0,0.0,0.0,0.0,5105.254316,0.0,0.0,0.0,0.416667,14,0,2052.533488,1886.223361,0.0,12,6,14754.936368440664
6,618,C10642,2113.098241,1.0,619.93,0.0,619.93,1958.668173,1.0,0.0,0.916667,0.083333,2,24,529.829894,508.775831,0.0,12,1,9161.30021838799
7,843,C10873,8220.740014,1.0,5197.22,4001.41,1195.81,18857.05847,1.0,0.571429,0.857143,1.0,25,15,12886.44123,1287.324868,0.2,7,8,14659.779602428234
8,981,C11014,114.38833,1.0,182.0,0.0,182.0,0.0,0.333333,0.0,0.333333,0.0,0,4,169.708108,168.97377,0.083333,12,0,7024.6496719740135
9,1088,C11122,4046.574741,1.0,1757.44,242.89,1514.55,19.677306,1.0,0.25,1.0,0.083333,1,68,1721.705144,1111.315878,0.0,12,3,11347.43186966367
10,1105,C11140,2239.937878,1.0,90.0,90.0,0.0,966.33053,0.090909,0.090909,0.0,0.454545,7,1,518.134344,484.797517,0.0,11,0,9304.628865928587
11,1150,C11190,4550.717687,1.0,2094.99,1357.0,737.99,2392.186586,1.0,0.5,1.0,0.166667,2,23,3172.264416,1091.281356,0.0,12,3,13328.814876562688
12,1181,C11224,3959.912911,1.0,0.0,0.0,0.0,158.159923,0.0,0.0,0.0,0.333333,4,0,701.794235,1641.805004,0.0,12,0,10343.756499065568
13,1416,C11461,920.922411,1.0,1227.93,459.55,768.38,0.0,0.916667,0.166667,0.916667,0.0,0,15,2219.82375,224.328091,0.0,12,1,6955.4362972706995
14,1462,C11509,465.033038,1.0,247.36,247.36,0.0,5291.769326,0.25,0.25,0.0,0.166667,9,2,506.365178,188.551517,0.25,12,0,6654.392513698824
15,1530,C11580,2613.123168,1.0,0.0,0.0,0.0,609.316112,0.0,0.0,0.0,0.166667,3,0,592.143167,1404.749726,0.0,12,0,8976.61414464924
16,1579,C11631,5559.733773,1.0,930.0,0.0,930.0,3639.817554,0.416667,0.0,0.333333,0.416667,14,13,2519.858893,2376.25517,0.0,12,6,11852.699237766787
17,1634,C11687,1283.280303,0.777778,0.0,0.0,0.0,5790.59647,0.0,0.0,0.0,0.666667,17,0,4073.172497,270.257736,0.0,9,6,8644.705494979813
18,1760,C11819,5383.084424,1.0,9736.61,3684.52,6052.09,2965.656802,1.0,0.416667,1.0,0.25,7,135,15824.73587,3364.021248,0.083333,12,7,11198.48399015805
19,1783,C11842,80.55139,0.909091,2132.7,914.0,1218.7,0.0,1.0,1.0,1.0,0.0,0,38,1731.530778,129.508802,0.545455,12,3,5984.347415799621
20,1851,C11911,2586.533933,1.0,400.0,400.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,886.663668,939.459896,0.0,12,0,9687.839452237753
21,1924,C11985,4382.112084,1.0,294.75,0.0,294.75,4945.02074,0.75,0.0,0.75,0.916667,25,11,6445.786897,6059.764322,0.0,12,8,6128.60292572227
22,2053,C12116,8.258214,0.545455,92.46,0.0,92.46,0.0,0.5,0.0,0.416667,0.0,0,6,127.082375,93.717243,0.75,12,2,5211.6032932491635
23,2075,C12140,788.9737,1.0,4574.79,4149.47,425.32,2604.900847,1.0,0.583333,0.833333,0.166667,4,46,5097.91073,366.740483,0.083333,12,3,9584.441260637594
24,2088,C12153,1681.16287,0.454545,1138.85,0.0,1138.85,4044.377495,0.416667,0.0,0.333333,0.25,6,5,3763.240294,1818.174017,0.0,12,6,7755.5035528694525
25,2110,C12175,231.995439,1.0,2310.21,1660.51,649.7,0.0,1.0,1.0,0.916667,0.0,0,67,1871.658725,173.610118,0.727273,12,3,6362.64596032241
26,2181,C12248,2005.414367,1.0,0.0,0.0,0.0,510.618121,0.0,0.0,0.0,0.25,3,0,746.145517,477.944936,0.0,12,0,8682.74174134792
27,2238,C12307,992.424289,1.0,0.0,0.0,0.0,45.026228,0.0,0.0,0.0,0.111111,1,0,161.400987,183.86589,0.0,9,0,7242.091003399744
28,2379,C12451,2544.036536,1.0,0.0,0.0,0.0,107.710567,0.0,0.0,0.0,0.083333,1,0,1064.575065,587.957563,0.0,12,0,9743.2652136214
29,2448,C12521,765.880394,0.909091,0.0,0.0,0.0,1966.812413,0.0,0.0,0.0,0.083333,1,0,2953.858729,335.991369,0.181818,12,0,9574.865845097365
30,2521,C12594,11.269672,0.636364,248.31,0.0,248.31,0.0,0.416667,0.0,0.416667,0.0,0,10,36.844388,66.224535,0.0,12,5,6867.464604370075
31,2531,C12604,24.099873,1.0,294.0,0.0,294.0,0.0,1.0,0.0,1.0,0.0,0,12,303.409519,185.055438,0.666667,12,2,5598.431892817093
32,2605,C12680,459.134859,1.0,223.34,0.0,223.34,0.0,0.666667,0.0,0.666667,0.0,0,9,498.401939,455.872675,0.0,12,1,9029.449373252797
33,2629,C12704,266.475852,0.272727,0.0,0.0,0.0,1560.735908,0.0,0.0,0.0,0.166667,2,0,792.623374,226.586503,0.0,12,5,7204.405236576471
34,2799,C12879,1738.454303,1.0,0.0,0.0,0.0,187.666429,0.0,0.0,0.0,0.25,3,0,500.128525,407.848117,0.0,12,0,8684.548901685961
35,2806,C12887,111.729154,0.454545,824.1,824.1,0.0,344.286557,0.166667,0.166667,0.0,0.083333,2,9,2961.848966,143.140487,1.0,12,5,5145.174516461429
36,2831,C12912,2545.614986,1.0,0.0,0.0,0.0,1353.803704,0.0,0.0,0.0,0.333333,8,0,716.417015,947.744413,0.0,12,0,8648.272298330665
37,2847,C12928,2221.252825,0.545455,0.0,0.0,0.0,6448.247202,0.0,0.0,0.0,0.333333,12,0,397.799248,477.915036,0.0,12,6,7780.732456104746
38,2860,C12943,409.194212,0.545455,1213.23,1213.23,0.0,1751.419465,0.25,0.25,0.0,0.416667,8,9,5997.800728,178.416838,0.0,12,5,6228.814587163624
39,3000,C13088,36.607995,0.545455,224.4,224.4,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,372.093413,151.08003,0.0,12,5,6939.5353967545425
40,3184,C13275,845.307601,0.181818,0.0,0.0,0.0,5452.074197,0.0,0.0,0.0,0.083333,1,0,1148.343858,1441.839102,0.0,12,5,8745.7851823692
41,3189,C13280,22.242824,1.0,236.28,236.28,0.0,0.0,0.833333,0.833333,0.0,0.0,0,10,258.45701,153.481269,0.545455,12,2,5518.527529382219
42,3260,C13353,6246.069586,1.0,0.0,0.0,0.0,5518.29804,0.0,0.0,0.0,0.166667,4,0,1462.274274,2206.014199,0.0,12,6,11514.456799215826
43,3277,C13370,13.141343,0.545455,850.44,150.0,700.44,0.0,1.0,0.083333,1.0,0.0,0,22,766.489028,28.116598,0.0,12,1,6822.205956778036
44,3374,C13469,1299.092905,1.0,323.99,323.99,0.0,10614.20378,0.083333,0.083333,0.0,0.25,19,1,2222.007132,1109.569412,0.0,12,6,4975.01231323084
45,3388,C13484,3278.259894,1.0,1581.43,1296.74,284.69,0.0,0.583333,0.333333,0.5,0.0,0,41,996.350965,1147.212494,0.0,12,1,9937.02687921799
46,3425,C13521,669.973636,0.545455,0.0,0.0,0.0,1479.440572,0.0,0.0,0.0,0.166667,3,0,1616.215963,121.550312,0.0,12,5,7204.405236576471
47,3475,C13571,2861.242925,0.909091,0.0,0.0,0.0,725.809616,0.0,0.0,0.0,0.083333,1,0,5134.288965,699.504112,0.090909,12,0,9797.726516157374
48,3644,C13746,1001.543878,1.0,2577.1,720.1,1857.0,2241.427898,1.0,0.666667,0.666667,0.416667,7,49,3875.419446,327.217973,0.090909,12,3,8734.593999916196
49,3655,C13757,1375.25356,1.0,0.0,0.0,0.0,142.304216,0.0,0.0,0.0,0.083333,1,0,364.444624,404.839423,0.0,12,0,9309.563250496316
50,3669,C13772,3743.771094,1.0,368.44,128.67,239.77,1428.188333,0.9,0.2,0.7,0.3,3,11,748.149925,767.438566,0.0,10,1,11130.455381152902
51,3692,C13795,9630.367575,1.0,5245.28,2931.2,2314.08,0.0,0.5,0.5,0.333333,0.0,0,29,5669.928467,2420.224884,0.0,12,3,12324.031268967192
52,3776,C13883,5852.750868,1.0,722.8,269.0,453.8,5817.204294,0.5,0.083333,0.416667,0.416667,10,8,1771.136112,1789.579488,0.0,12,6,12061.254229915456
53,3823,C13930,4859.262329,1.0,0.0,0.0,0.0,4835.129243,0.0,0.0,0.0,0.5,12,0,1126.662524,1204.405197,0.0,12,6,13151.91978892493
54,3841,C13948,8539.312935,1.0,0.0,0.0,0.0,4070.445699,0.0,0.0,0.0,0.5,8,0,2459.237522,2081.685138,0.0,12,6,13879.9484416806
55,3879,C13988,846.380946,1.0,8397.44,6812.04,1585.4,0.0,1.0,1.0,1.0,0.0,0,118,8067.500812,202.618759,1.0,12,3,7002.860029489633
56,3912,C14021,961.369596,1.0,0.0,0.0,0.0,1124.284462,0.0,0.0,0.0,0.166667,2,0,275.73187,564.587643,0.0,12,0,9180.876620236848
57,3929,C14039,984.135371,1.0,599.58,590.0,9.58,0.0,0.333333,0.333333,0.083333,0.0,0,5,782.954766,204.154837,0.0,12,0,6906.556397591942
58,4048,C14162,44.192011,0.454545,356.0,356.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,836.690499,205.907225,0.0,12,5,6939.5353967545425
59,4050,C14164,4663.032241,1.0,1325.31,1325.31,0.0,0.0,0.333333,0.333333,0.0,0.0,0,5,2064.110786,6004.094182,0.0,12,0,12177.851036290893
60,4109,C14224,968.504914,1.0,257.71,45.65,212.06,0.0,0.166667,0.083333,0.166667,0.0,0,4,623.314494,842.242726,0.0,12,0,9240.251949584606
61,4150,C14265,655.712971,1.0,264.35,202.8,61.55,0.0,0.333333,0.083333,0.166667,0.0,0,6,180.129661,295.417192,0.0,12,0,10049.746762793771
62,4168,C14283,316.812739,1.0,2393.89,801.1,1592.79,2145.718983,1.0,0.833333,1.0,0.25,3,80,4439.641308,176.119649,0.833333,12,3,5776.84111279206
63,4236,C14353,472.61828,1.0,4626.36,2974.0,1652.36,305.257038,1.0,0.833333,1.0,0.166667,2,67,4549.881872,176.856716,1.0,12,3,6897.164761931552
64,4448,C14571,1791.85654,1.0,71.38,0.0,71.38,0.0,0.416667,0.0,0.416667,0.0,0,5,547.424357,647.111708,0.0,12,0,8910.612868434344
65,4526,C14650,32.229139,0.727273,145.85,0.0,145.85,0.0,0.583333,0.0,0.583333,0.0,0,7,263.681773,130.725349,0.125,12,1,6863.840528466658
66,4533,C14657,2996.761878,1.0,3644.35,3610.6,33.75,0.0,0.666667,0.583333,0.083333,0.0,0,23,3879.940821,864.045134,0.0,12,3,10330.2238737613
67,4669,C14795,8248.178009,1.0,1788.84,0.0,1788.84,90.031207,1.0,0.0,1.0,0.083333,1,12,40627.59524,2149.990102,0.166667,12,7,16424.96517933003
68,4725,C14853,6456.515148,1.0,0.0,0.0,0.0,3802.386718,0.0,0.0,0.0,0.75,17,0,2640.103648,1789.614843,0.0,12,6,9147.371869061064
69,4783,C14916,1124.582725,1.0,0.0,0.0,0.0,219.933843,0.0,0.0,0.0,0.333333,4,0,446.251464,228.206218,0.0,12,0,6599.872361612615
70,4800,C14933,472.663708,0.545455,310.44,0.0,310.44,0.0,0.416667,0.0,0.416667,0.0,0,5,2493.243567,222.654608,0.142857,12,5,6887.94014991311
71,4811,C14944,1118.479084,1.0,325.95,203.96,121.99,0.0,0.666667,0.333333,0.25,0.0,0,9,290.888289,369.130795,0.0,12,1,9069.174959339443
72,4947,C15085,164.583178,0.454545,1489.28,918.48,570.8,0.0,0.333333,0.25,0.25,0.0,0,8,1858.087268,176.445411,0.0,12,5,6936.753447291433
73,5044,C15185,1324.038811,1.0,1862.96,1862.96,0.0,0.0,0.416667,0.416667,0.0,0.0,0,11,954.962296,323.536714,0.0,12,0,10026.833302617124
74,5114,C15258,15.257465,0.636364,238.25,0.0,238.25,0.0,0.083333,0.0,0.083333,0.0,0,2,4.841543,111.741197,0.0,12,5,6991.127086991147
75,5157,C15301,273.429593,1.0,8534.58,7875.08,659.5,0.0,0.916667,0.916667,0.75,0.0,0,116,7512.513474,131.710372,0.875,12,3,6975.710346965712
76,5180,C15324,0.0,0.0,933.75,0.0,933.75,0.0,0.75,0.0,0.75,0.0,0,9,0.0,,0.0,12,5,8898.034231709933
77,5220,C15366,6.226972,0.181818,54.0,0.0,54.0,0.0,0.166667,0.0,0.083333,0.0,0,2,0.0,,0.0,12,5,9184.815476026426
78,5322,C15473,0.0,0.0,54.85,0.0,54.85,0.0,0.333333,0.0,0.333333,0.0,0,5,75.750562,,0.0,12,5,9052.427998475461
79,5334,C15485,952.952011,1.0,39.58,39.58,0.0,663.05871,0.083333,0.083333,0.0,0.083333,3,1,1665.457998,204.226245,0.0,12,0,7337.22887614123
80,5342,C15493,7091.028361,1.0,0.0,0.0,0.0,2137.809373,0.0,0.0,0.0,0.25,5,0,1835.361842,2701.584337,0.0,12,6,10784.036610920019
81,5345,C15496,767.708957,1.0,1730.6,661.45,1069.15,0.0,1.0,0.571429,0.857143,0.0,0,45,341.459733,126.503057,0.0,7,1,7081.527954269947
82,5380,C15532,2899.781468,1.0,223.62,193.94,29.68,507.263645,0.333333,0.25,0.166667,0.083333,2,6,1059.352415,683.372766,0.0,12,0,9974.268501431983
83,5395,C15547,738.656748,1.0,0.0,0.0,0.0,1417.01143,0.0,0.0,0.0,0.25,3,0,170.645351,187.555397,0.0,12,0,6982.305717085011
84,5413,C15565,286.686616,0.090909,0.0,0.0,0.0,3742.712482,0.0,0.0,0.0,0.083333,2,0,0.0,,0.0,12,5,9046.47360702043
85,5425,C15577,1039.256129,1.0,618.75,0.0,618.75,0.0,0.916667,0.0,0.916667,0.0,0,11,202.137436,262.20484,0.0,12,1,9187.994847395126
86,5456,C15608,153.679036,1.0,181.81,0.0,181.81,0.0,0.833333,0.0,0.833333,0.0,0,16,454.857585,183.013235,0.0,12,1,6981.873144663113
87,5512,C15666,309.491763,0.454545,0.0,0.0,0.0,3497.519958,0.0,0.0,0.0,0.25,6,0,5364.680585,116.705952,0.333333,12,5,5533.1434571498985
88,5541,C15696,26.296743,0.545455,417.0,417.0,0.0,0.0,1.0,1.0,0.0,0.0,0,13,960.737291,86.562843,0.111111,12,1,6910.189497724564
89,5556,C15711,26.157304,0.818182,318.41,65.0,253.41,0.0,0.75,0.083333,0.666667,0.0,0,11,240.474518,154.2101,0.0,12,1,6974.953134006423
90,5578,C15733,884.16375,1.0,823.52,0.0,823.52,0.0,1.0,0.0,1.0,0.0,0,56,416.870269,294.032386,0.0,12,1,9331.335210240835
91,5592,C15747,2638.45383,1.0,0.0,0.0,0.0,262.082802,0.0,0.0,0.0,0.166667,2,0,642.830286,599.508236,0.0,12,0,9446.898528005766
92,5599,C15754,3956.072098,1.0,82.0,82.0,0.0,2113.060571,0.166667,0.166667,0.0,0.25,9,2,811.119073,1325.010085,0.0,12,6,10414.803390757203
93,5731,C15890,170.086639,0.909091,1218.11,980.87,237.24,0.0,0.75,0.5,0.166667,0.0,0,9,1277.281619,152.507474,0.222222,12,1,6807.174162765074
94,5788,C15949,0.0,0.0,102.72,0.0,102.72,0.0,1.0,0.0,1.0,0.0,0,12,0.0,,0.0,12,5,8141.71551428335
95,5842,C16004,579.57472,0.909091,1337.5,0.0,1337.5,1059.31576,0.583333,0.0,0.583333,0.166667,6,11,2772.615528,2970.844918,0.1,12,1,8938.871031449298
96,5858,C16021,33.04593,1.0,204.24,0.0,204.24,0.0,1.0,0.0,0.833333,0.0,0,6,163.744562,81.625033,1.0,6,2,5596.518804974662
97,5915,C16080,912.912728,0.857143,0.0,0.0,0.0,1563.920556,0.0,0.0,0.0,0.285714,9,0,212.084925,331.487123,0.0,7,0,9475.209006488461
98,5924,C16089,2.11508,0.181818,50.0,50.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,555.764209,,0.0,12,5,9133.107242350232
99,5940,C16105,112.01654,0.636364,825.0,600.0,225.0,0.0,0.5,0.083333,0.416667,0.0,0,7,218.826147,190.513321,0.2,12,5,6565.270525782308
100,6030,C16199,2481.696036,1.0,1326.09,1326.09,0.0,2033.191162,0.583333,0.583333,0.0,0.166667,8,15,1491.960053,751.452457,0.0,12,0,9329.15736990677
101,6081,C16251,1540.337706,1.0,551.62,360.0,191.62,0.0,0.833333,0.333333,0.75,0.0,0,16,655.465567,1226.5916,0.0,12,1,8705.21935094046
102,6139,C16309,1978.442957,1.0,35.94,35.94,0.0,922.67316,0.083333,0.083333,0.0,0.916667,28,1,1230.609516,1314.625311,0.0,12,6,3949.4296669975392
103,6199,C16371,3006.295536,1.0,1430.24,50.0,1380.24,0.0,1.0,0.083333,1.0,0.0,0,92,2034.512438,3337.263197,0.0,12,1,8898.481638479005
104,6289,C16463,8692.806679,1.0,1022.77,1022.77,0.0,2970.97936,0.5,0.5,0.0,0.25,4,6,5960.192059,6357.931772,0.0,12,6,10451.147355807068
105,6306,C16480,1998.319924,1.0,5400.64,4694.12,706.52,0.0,1.0,0.916667,0.833333,0.0,0,61,3359.914173,527.235281,0.090909,12,3,9554.361676848235
106,6311,C16485,1390.563775,1.0,0.0,0.0,0.0,154.241717,0.0,0.0,0.0,0.083333,1,0,506.958786,606.10374,0.0,12,0,9309.563250496316
107,6562,C16740,1459.853158,1.0,1365.0,1365.0,0.0,363.867229,0.090909,0.090909,0.0,0.090909,1,3,1751.977457,844.975196,0.0,11,0,8802.790452733823
108,6616,C16798,1100.505764,1.0,220.0,220.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,344.856423,623.734943,0.0,12,0,8991.28731927629
109,6694,C16881,1474.990634,0.818182,4469.59,2836.63,1632.96,0.0,1.0,0.666667,1.0,0.0,0,67,4337.964147,770.352007,0.0,12,3,8952.641179530423
110,6784,C16971,155.676255,0.818182,990.33,990.33,0.0,0.0,0.333333,0.333333,0.0,0.0,0,8,1006.564682,67.567132,0.181818,12,0,6701.923554017458
111,6788,C16975,900.292445,0.909091,0.0,0.0,0.0,1103.829113,0.0,0.0,0.0,0.166667,6,0,190.33293,216.278844,0.0,12,0,7279.984575095472
112,6800,C16987,489.343503,1.0,1446.44,1093.24,353.2,0.0,0.727273,0.363636,0.636364,0.0,0,17,1223.217883,189.41742,0.0,11,1,7020.092671481121
113,6827,C17014,6342.561972,1.0,0.0,0.0,0.0,3444.929414,0.0,0.0,0.0,0.25,4,0,1351.732415,1342.524091,0.0,12,6,14068.364084342456
114,6927,C17115,1575.327024,1.0,0.0,0.0,0.0,1903.985872,0.0,0.0,0.0,0.75,21,0,628.807815,323.958821,0.0,12,6,7818.911394822611
115,6982,C17172,27.533451,0.909091,187.5,0.0,187.5,0.0,0.5,0.0,0.416667,0.0,0,6,280.02494,137.46898,0.333333,12,1,5791.718087669395
116,7077,C17268,1106.815562,1.0,0.0,0.0,0.0,176.181983,0.0,0.0,0.0,0.166667,3,0,310.991074,269.927525,0.0,12,0,9897.79194037557
117,7105,C17296,2.053676,0.181818,74.0,0.0,74.0,0.0,0.166667,0.0,0.083333,0.0,0,2,68.147484,29.485897,0.090909,12,5,6991.127086991147
118,7109,C17300,54.567517,1.0,0.0,0.0,0.0,207.390596,0.0,0.0,0.0,0.166667,4,0,276.975673,161.150923,0.25,12,0,7039.849432772181
119,7211,C17405,1322.818587,1.0,0.0,0.0,0.0,762.301096,0.0,0.0,0.0,0.545455,11,0,1035.62732,312.83553,0.0,11,0,8674.485837824193
120,7284,C17480,600.450838,1.0,351.88,104.78,247.1,445.263361,0.666667,0.25,0.5,0.583333,13,10,785.561972,378.370091,0.0,12,6,8057.987841154204
121,7291,C17487,706.327578,0.888889,169.54,169.54,0.0,1406.735573,0.333333,0.333333,0.0,0.888889,14,3,302.97678,142.597254,0.0,9,6,6136.082681447621
122,7320,C17516,1144.128891,1.0,1373.27,688.15,685.12,1101.351331,1.0,1.0,0.833333,0.166667,4,30,1705.162709,375.042212,0.0,12,3,8716.233880843049
123,7322,C17518,71.431411,1.0,2068.41,0.0,2068.41,0.0,1.0,0.0,1.0,0.0,0,27,1984.989648,59.522727,0.25,12,1,6838.24906440684
124,7339,C17536,677.403883,1.0,0.0,0.0,0.0,1149.411566,0.0,0.0,0.0,0.666667,8,0,126.873568,125.922743,0.0,6,0,6713.369061747914
125,7453,C17655,6.526735,0.181818,53.09,53.09,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,309.515966,86.885269,0.0,12,5,7264.717809339327
126,7499,C17701,256.02662,0.909091,2098.56,1798.3,300.26,0.0,0.909091,0.909091,0.272727,0.0,0,22,1909.534262,155.695781,0.25,11,3,7457.306900123471
127,7532,C17735,844.022439,1.0,0.0,0.0,0.0,1125.228876,0.0,0.0,0.0,0.166667,3,0,535.604592,237.229776,0.0,12,0,7332.640096886121
128,7547,C17750,1420.156349,1.0,0.0,0.0,0.0,445.913736,0.0,0.0,0.0,0.333333,5,0,661.562552,772.85986,0.0,12,0,8340.29233853007
129,7554,C17757,2017.391656,1.0,12024.37,11224.1,800.27,0.0,1.0,1.0,0.5,0.0,0,133,11516.39232,556.651236,0.333333,12,7,8903.069741800025
130,7749,C17958,1109.84819,1.0,261.56,182.37,79.19,1192.668467,0.416667,0.333333,0.166667,0.166667,8,8,572.817257,697.038439,0.0,12,0,8581.63542800433
131,7760,C17970,1366.778251,1.0,5065.83,4539.7,526.13,48.245421,1.0,1.0,0.666667,0.083333,1,69,4366.758829,904.850068,0.0,12,3,9138.365476783063
132,7803,C18014,827.66215,1.0,965.0,890.0,75.0,0.0,0.333333,0.166667,0.166667,0.0,0,4,748.605862,330.125475,0.0,12,0,10143.80931707027
133,7859,C18071,218.004416,1.0,0.0,0.0,0.0,272.866274,0.0,0.0,0.0,0.083333,2,0,186.269591,177.363707,0.0,12,0,7364.3826933913715
134,7999,C18215,613.814108,1.0,875.14,317.0,558.14,550.606961,0.833333,0.166667,0.75,0.25,4,28,549.929401,351.601266,0.0,12,1,9036.393373501664
135,8173,C18392,14.428951,0.727273,200.0,0.0,200.0,0.0,0.666667,0.0,0.666667,0.0,0,8,291.222619,149.575815,0.375,12,2,5687.01340741863
136,8190,C18409,114.297852,0.909091,994.54,249.54,745.0,0.0,0.833333,0.333333,0.75,0.0,0,18,1099.568918,163.756802,0.444444,12,2,5806.2645708448445
137,8299,C18519,2473.175598,1.0,0.0,0.0,0.0,1462.361808,0.0,0.0,0.0,0.416667,9,0,703.75604,582.501738,0.0,12,0,8937.459602427423
138,8387,C18610,26.354114,0.363636,1148.31,1148.31,0.0,0.0,0.25,0.25,0.0,0.0,0,3,1162.170922,46.962114,0.1,12,5,6934.08264814781
139,8433,C18660,202.968428,1.0,163.55,0.0,163.55,0.0,0.5,0.0,0.5,0.0,0,9,188.816775,1711.207196,0.0,12,1,8836.749964432265
140,8511,C18741,12.209291,0.545455,143.75,0.0,143.75,0.0,0.416667,0.0,0.416667,0.0,0,5,330.503125,147.685817,1.0,12,2,5235.702914695616
141,8699,C18935,873.680279,1.0,2397.05,1072.46,1324.59,1657.160669,1.0,0.5,0.916667,0.583333,12,23,2028.986135,297.682079,0.083333,12,1,8533.889705605825
142,8707,C18943,53.918649,1.0,293.4,0.0,293.4,0.0,1.0,0.0,0.916667,0.0,0,12,214.720832,170.993091,0.090909,12,1,6963.006500219002
143,8736,C18972,35.38985,1.0,285.24,0.0,285.24,0.0,1.0,0.0,0.916667,0.0,0,12,232.82123,176.356576,0.363636,12,1,5922.142404023958
144,8737,C18973,851.249818,1.0,2000.0,2000.0,0.0,4085.845895,0.285714,0.285714,0.0,0.571429,12,4,2246.792007,970.683654,0.285714,7,6,7300.021299925042
145,8810,C19049,5.721468,0.9,83.43,0.0,83.43,0.0,0.9,0.0,0.8,0.0,0,9,78.559954,91.631089,0.375,10,1,5776.897892673308
146,8821,C19060,16.341186,0.666667,207.54,0.0,207.54,0.0,1.0,0.0,0.833333,0.0,0,6,126.616901,27.446256,0.2,6,1,6503.14960069043
147,8921,C19161,1055.087681,0.666667,0.0,0.0,0.0,1820.1162,0.0,0.0,0.0,0.333333,2,0,54.795084,233.22987,0.0,6,0,6470.611340673583
148,8928,C19168,91.639086,1.0,315.2,147.8,167.4,0.0,1.0,0.333333,0.833333,0.0,0,8,231.274641,86.344733,0.25,6,1,6647.095430878427
149,8942,C19182,5967.47527,0.833333,214.55,0.0,214.55,8555.409326,0.833333,0.0,0.666667,0.666667,13,5,966.202912,861.949906,0.0,6,6,13550.85982794836
